web-scraper-order,Street,full_address,PLZ,Ortschaftsname,Kantonskürzel,housenumber,strplz,address_geocoding,latitude,longitude
1672673334-30355,Rue de Beaumanière 8,"Rue de Beaumanière 8, 3963 Crans-Montana",3963,Crans-Montana,VS,8.0,4622,Rue de Beaumanière 8 Crans-Montana,47.32402801513672,7.793032169342041
1672673334-30356,Rue du Pas-de-l'Ours 53,"Rue du Pas-de-l'Ours 53, 3963 Crans-Montana",3963,Crans-Montana,VS,53.0,4622,Rue du Pas-de-l'Ours 53 Crans-Montana,47.32325744628906,7.80190896987915
1672673337-30364,3,"3, route du Pont du Diable, 3963 Crans-Montana",3963,Crans-Montana,VS,3.0,4853,3 Crans-Montana,47.271202087402344,7.849140644073486
1672673337-30367,Route des Barzettes 15,"Route des Barzettes 15, 3963 Crans-Montana",3963,Crans-Montana,VS,15.0,5622,Route des Barzettes 15 Crans-Montana,47.33848190307617,8.298245429992676
1672673337-30370,Impasse des Clavans 3,"Impasse des Clavans 3, 3963 Crans-Montana",3963,Crans-Montana,VS,3.0,5621,Impasse des Clavans 3 Crans-Montana,47.354862213134766,8.357771873474121
1672673337-30373,Route des Barzettes 39,"Route des Barzettes 39, 3963 Crans-Montana",3963,Crans-Montana,VS,39.0,6983,Route des Barzettes 39 Crans-Montana,45.98280334472656,8.884866714477539
1672671818-22511,Route de la Délège 55,"Route de la Délège 55, 3963 Lens",3963,Crans-Montana,VS,55.0,1341,Route de la Délège 55 Crans-Montana,46.603057861328125,6.234793663024902
1672672119-24517,Chemin de Crételles 16,"Chemin de Crételles 16, 3975 Crans-Montana",3975,Randogne,VS,16.0,8617,Chemin de Crételles 16 Randogne,47.31079864501953,8.722335815429688
1672672325-25877,Chemin de Praty 40,"Chemin de Praty 40, 3975 Bluche-Randogne",3975,Randogne,VS,40.0,8617,Chemin de Praty 40 Randogne,47.315093994140625,8.723085403442383
1672673965-34565,Bahnhofstrasse 63,"Bahnhofstrasse 63, 8965 Berikon",8965,Berikon,AG,63.0,1663,Bahnhofstrasse 63 Berikon,46.56399154663086,7.035409927368164
1672673628-32243,Bürkihof 4,"Bürkihof 4, 8965 Berikon",8965,Berikon,AG,4.0,6677,Bürkihof 4 Berikon,46.233036041259766,8.726715087890625
1672672587-27594,Höhenweg 3,"Höhenweg 3, 8965 Berikon",8965,Berikon,AG,3.0,6563,Höhenweg 3 Berikon,46.41695785522461,9.223451614379883
1672672359-26085,Im Unterzelg 9,"Im Unterzelg 9, 8965 Berikon",8965,Berikon,AG,9.0,5274,Im Unterzelg 9 Berikon,47.566078186035156,8.127240180969238
1672673920-34269,Seglias 37,"Seglias 37, 7514 Sils im Engadin",7514,Sils/Segl Maria,GR,37.0,5275,Seglias 37 Sils/Segl Maria,47.570533752441406,8.109162330627441
1672673911-34212,Seestrasse 54,"Seestrasse 54, 6354 Vitznau",6354,Vitznau,LU,54.0,4116,Seestrasse 54 Vitznau,47.46379470825195,7.465950012207031
1672673923-34290,Crusch 2,"Crusch 2, 7503 Samaden",7503,Samedan,GR,2.0,4233,Crusch 2 Samedan,47.38774490356445,7.587184906005859
1672673821-33605,Rainstrasse 6,"Rainstrasse 6, 8955 Oetwil an der Limmat",8955,Oetwil an der Limmat,ZH,6.0,3860,Rainstrasse 6 Oetwil an der Limmat,46.72316360473633,8.195886611938477
1672671577-20991,Rainstrasse 23,"Rainstrasse 23, 8955 Oetwil an der Limmat",8955,Oetwil an der Limmat,ZH,23.0,1869,Rainstrasse 23 Oetwil an der Limmat,46.2457160949707,6.986443042755127
1672673468-31189,Place du Cori 1,"Place du Cori 1, 3966 Chalais",3966,Chalais,VS,1.0,4448,Place du Cori 1 Chalais,47.392696380615234,7.85114049911499
1672673468-31191,Place du Cori 1,"Place du Cori 1, 3966 Chalais",3966,Chalais,VS,1.0,4932,Place du Cori 1 Chalais,47.186004638671875,7.791522979736328
1672673343-30415,Rue du Quenet 3,"Rue du Quenet 3, 2822 Courroux",2822,Courroux,JU,3.0,4415,Rue du Quenet 3 Courroux,47.464290618896484,7.757567882537842
1672673343-30417,Rue du Quenet 3,"Rue du Quenet 3, 2822 Courroux",2822,Courroux,JU,3.0,4415,Rue du Quenet 3 Courroux,47.46866226196289,7.770689010620117
1672672134-24615,Rue du 23 Juin 21,"Rue du 23 Juin 21, 2822 Courroux",2822,Courroux,JU,23.0,4712,Rue du 23 Juin 21 Courroux,47.31044387817383,7.6521992683410645
1672672134-24618,Chemin des Celtes 8,"Chemin des Celtes 8, 2822 Courroux",2822,Courroux,JU,8.0,2516,Chemin des Celtes 8 Courroux,47.117340087890625,7.132476329803467
1672673804-33484,Avenue de Tourbillon 60,"Avenue de Tourbillon 60, 1950 Sion",1950,Sion,VS,60.0,8457,Avenue de Tourbillon 60 Sion,47.57661437988281,8.667778015136719
1672672477-26895,Route de Lentine 8,"Route de Lentine 8, 1950 Sion",1950,Sion,VS,8.0,3032,Route de Lentine 8 Sion,46.96962356567383,7.377089023590088
1672672307-25749,Rte des Orgues 21E,"Rte des Orgues 21E, 1967 Bramois",1967,Bramois,VS,21.0,3115,Rte des Orgues 21E Bramois,46.83913803100586,7.546452045440674
1672673957-34510,Klimmweg 42,"Klimmweg 42, 8305 Dietlikon",8305,Dietlikon,ZH,42.0,9306,Klimmweg 42 Dietlikon,47.48880386352539,9.388486862182617
